left
aX;aY;aZ;gX;gY;gZ
-81;2;526;194.885;36.804;252.686
271;-93;1.023;260.681;-11.841;242.187
184;243;1.254;202.637;-65.552;219.482
-65;509;1.254;89.600;-86.731;188.293
43;611;1.224;8.972;-60.608;153.259
160;546;1.177;-27.649;-29.968;115.967
70;421;1.071;-46.936;-18.494;86.182
9;332;960;-60.730;-5.493;64.331
-27;339;886;-60.608;7.996;41.382
-129;336;877;-41.992;10.193;22.888
-184;350;873;-17.456;5.676;7.385
-176;388;889;977;1.831;-7.874
-115;405;918;10.132;-793;-23.437
-94;436;916;15.320;-122;-39.551
-58;421;928;24.719;3.845;-53.711
-11;385;938;38.757;2.380;-74.951
-6;366;931;53.955;-7.568;-107.239
-4;333;963;67.749;-14.526;-142.456
25;265;1.064;75.256;-13.855;-175.171
82;212;1.168;68.115;-10.681;-204.651
98;103;1.113;49.622;-10.315;-229.065
-12;80;909;38.269;-3.601;-261.780
28;-65;1.048;51.697;15.564;-301.636
34;-202;1.133;64.575;21.179;-332.703
54;-282;1.225;54.382;22.461;-347.778
38;-408;1.227;24.719;30.396;-335.083
-13;-469;1.188;-11.169;32.410;-304.077
-105;-441;1.064;-34.241;27.344;-268.250
-192;-394;980;-34.851;27.588;-234.375
-241;-303;927;-13.550;32.898;-204.895
-199;-240;897;23.132;35.339;-171.204
-140;-265;848;65.796;30.273;-135.681
-79;-344;885;99.670;26.245;-109.436
-11;-393;954;113.892;18.433;-95.276
28;-373;1.000;106.506;4.578;-84.839
72;-308;996;86.731;-11.658;-70.984
93;-279;942;69.885;-26.001;-54.077
93;-289;918;57.556;-32.104;-45.227
97;-311;933;44.861;-31.067;-45.898
76;-312;911;34.729;-25.146;-53.101
55;-297;912;31.982;-13.062;-62.561
43;-281;905;33.020;-1.587;-69.641
12;-271;887;33.142;7.446;-70.740
-44;-269;894;28.076;14.648;-63.293
-82;-280;925;16.663;18.372;-44.617
-86;-307;925;-183;16.968;-16.357
-84;-268;892;-19.775;14.465;14.465
-45;-340;903;-38.574;11.108;47.058
45;-397;908;-50.415;9.338;66.467
54;-358;859;-52.551;1.038;65.613
54;-338;886;-44.922;-6.653;61.401
54;-295;891;-26.123;-12.085;52.612
60;-269;923;366;-15.259;36.865
63;-300;916;21.545;-14.343;21.179
104;-267;954;30.212;-10.071;3.418
89;-233;960;32.837;-6.836;-10.193
19;-222;925;33.752;-7.019;-17.456
-9;-189;954;31.677;-4.333;-21.606
-32;-180;946;26.367;-3.784;-19.043
-37;-168;931;18.494;-2.625;-10.193
-13;-178;930;7.446;793;1.465
20;-228;920;-5.920;4.944;11.353
45;-267;927;-15.747;8.057;14.038
54;-276;946;-18.127;8.667;10.620
51;-284;971;-15.381;7.690;6.287
50;-286;983;-11.414;6.775;5.676
41;-274;978;-8.911;5.127;11.169
36;-265;964;-7.996;4.211;15.015
42;-225;934;-9.766;4.944;13.550
