aX,aY,aZ,gX,gY,gZ
0.090,-0.027,0.940,-12.756,-3.784,-3.174
0.091,-0.019,0.942,-8.789,-5.432,-3.540
0.090,-0.012,0.941,-3.967,-6.592,-3.723
0.089,-0.010,0.937,-0.366,-7.202,-4.517
0.083,-0.010,0.942,1.465,-7.446,-5.066
0.088,-0.019,0.958,2.319,-7.141,-5.066
0.090,-0.033,0.964,3.784,-6.531,-5.676
0.081,-0.043,0.961,5.371,-5.554,-5.859
0.074,-0.054,0.952,4.944,-4.944,-6.348
0.072,-0.061,0.949,3.113,-4.456,-6.226
0.076,-0.074,0.956,1.038,-4.272,-5.798
0.076,-0.071,0.966,-2.197,-4.578,-5.432
0.075,-0.067,0.972,-6.348,-3.967,-4.578
0.078,-0.052,0.966,-9.949,-2.075,-3.113
0.084,-0.046,0.961,-11.719,-1.465,-3.174
0.087,-0.045,0.951,-11.414,-2.075,-3.601
0.081,-0.041,0.943,-9.094,-3.235,-3.906
0.084,-0.029,0.936,-5.615,-4.517,-3.784
0.082,-0.025,0.931,-1.587,-6.104,-4.395
0.081,-0.017,0.931,2.136,-7.568,-5.249
0.081,-0.028,0.944,5.066,-8.911,-6.165
0.079,-0.059,0.961,6.531,-9.644,-7.080

-0.133,-0.086,2.575,61.401,166.260,-54.871
-0.226,-0.130,2.505,23.193,258.667,-48.462
-0.256,-0.166,2.285,0.488,349.670,-40.771
-0.294,-0.031,2.119,-6.531,417.969,-35.583
-0.280,0.016,1.905,9.216,473.389,-39.368
-0.354,-0.050,1.579,31.982,512.634,-49.072
-0.437,-0.080,1.276,33.936,541.748,-58.105
-0.322,0.050,0.884,23.254,549.377,-57.800
-0.215,0.107,0.528,24.536,538.574,-65.491
-0.104,0.118,0.300,34.790,517.883,-79.773
0.089,0.118,0.203,43.518,489.746,-90.515
0.063,0.020,0.157,49.377,461.243,-104.858
-0.025,-0.062,0.000,42.908,440.430,-111.816
0.052,-0.077,-0.160,18.494,434.265,-112.488
0.112,-0.141,-0.340,-7.446,430.054,-118.408
0.118,-0.241,-0.559,-36.682,414.307,-124.390
0.160,-0.371,-0.835,-69.092,390.137,-126.282
0.213,-0.456,-1.023,-95.825,359.802,-124.878
0.185,-0.493,-1.149,-102.905,315.674,-117.798
0.061,-0.604,-1.374,-89.478,252.014,-100.891
0.027,-0.709,-1.690,-73.120,174.377,-72.815
0.087,-0.749,-1.877,-71.533,96.802,-37.048
0.042,-0.756,-2.030,-79.895,8.179,5.310
0.119,-0.828,-2.194,-95.032,-100.586,53.894
0.129,-0.816,-2.096,-106.934,-212.036,100.525
0.033,-0.679,-2.026,-95.398,-330.383,141.724
0.102,-0.634,-1.682,-62.256,-449.036,172.546
-0.224,-0.571,-1.256,-34.607,-537.537,177.551
-0.391,-0.516,-0.578,-26.184,-584.473,171.692
-0.443,-0.628,0.142,13.306,-597.839,163.452
-0.398,-0.664,0.527,72.449,-595.337,168.945
-0.338,-0.519,0.572,92.041,-571.777,176.392
-0.307,-0.171,0.618,66.589,-544.006,171.997
-0.216,0.104,0.937,46.875,-546.021,159.668
-0.274,0.147,1.437,56.580,-559.570,140.259
-0.414,0.033,1.861,51.392,-547.485,121.155
-0.609,-0.005,1.904,23.010,-497.620,94.543
-0.367,0.010,1.939,-12.878,-418.640,73.853
-0.195,0.115,1.752,-34.424,-352.356,66.833
-0.140,0.158,1.634,-27.466,-321.167,66.772
-0.356,0.179,1.454,-2.258,-313.721,68.237
-0.326,0.213,1.467,20.813,-301.819,63.049
-0.328,0.300,1.542,32.898,-292.725,57.007
-0.243,0.401,1.778,46.814,-278.137,49.866
-0.167,0.407,1.987,66.895,-257.996,32.715
-0.218,0.271,2.103,78.613,-219.910,3.967
-0.242,0.102,2.154,64.575,-154.175,-24.231
-0.269,-0.059,2.105,25.452,-75.745,-36.926
-0.432,-0.231,2.007,-22.949,-3.235,-33.020
-0.509,-0.273,1.714,-62.500,50.171,-19.287
-0.348,-0.191,1.453,-82.947,84.900,-6.409
-0.214,-0.139,1.230,-74.036,90.454,-1.038
-0.113,-0.109,1.084,-44.983,77.698,1.038
-0.045,-0.103,1.001,-18.555,62.439,3.052
0.001,-0.094,0.956,-12.939,47.058,3.601
0.047,-0.114,0.970,-24.170,32.776,1.770
0.086,-0.138,0.969,-33.081,23.926,-2.014
0.091,-0.135,0.943,-29.236,23.804,-3.357
0.091,-0.136,0.908,-20.508,25.024,-0.305
0.067,-0.139,0.874,-9.094,23.804,1.221
0.063,-0.109,0.820,4.578,21.851,0.916
0.038,-0.099,0.779,17.456,18.372,1.587
0.052,-0.097,0.795,26.855,12.512,3.174
0.004,-0.073,0.814,30.334,1.892,4.272
-0.009,-0.041,0.887,25.146,-2.502,6.775
-0.006,-0.004,0.911,16.968,-2.625,6.592
0.021,-0.005,0.956,10.620,-1.343,4.822
0.001,-0.010,0.965,3.235,0.610,2.930
-0.004,-0.013,0.969,-9.277,4.822,0.244
0.000,-0.011,0.948,-20.447,7.812,-3.113
-0.009,-0.032,0.939,-23.926,7.385,-4.211
-0.005,-0.037,0.940,-19.226,5.066,-4.150
0.004,-0.025,0.947,-8.667,0.732,-3.296
0.010,-0.016,0.963,3.540,-3.296,-1.831
0.019,-0.009,0.974,13.245,-5.188,-2.136
0.014,-0.009,0.973,17.517,-4.272,-2.747
0.008,-0.007,0.964,14.282,-2.380,-3.418
0.008,-0.017,0.954,8.118,-0.488,-4.517
0.007,-0.034,0.948,2.563,0.671,-6.042
0.014,-0.058,0.947,-2.686,0.061,-8.118
0.013,-0.077,0.950,-6.897,-1.587,-9.583
0.018,-0.091,0.956,-10.437,-2.930,-9.583
0.015,-0.110,0.964,-14.587,-4.272,-10.315
0.011,-0.123,0.965,-18.188,-4.333,-9.277
0.014,-0.114,0.960,-19.348,-4.150,-6.714
0.024,-0.101,0.955,-16.785,-4.211,-4.517
0.026,-0.078,0.945,-9.338,-4.822,-3.113
0.015,-0.064,0.927,-1.160,-5.371,-2.014
0.014,-0.050,0.915,1.038,-5.371,-2.563
0.021,-0.048,0.922,-0.122,-4.944,-4.150
0.009,-0.064,0.934,-0.793,-4.272,-5.737
-0.000,-0.080,0.931,0.061,-3.418,-7.019
-0.001,-0.091,0.933,1.038,-3.296,-6.836
-0.002,-0.098,0.951,1.099,-2.502,-5.554
