aX,aY,aZ,gX,gY,gZ
0.004,-0.023,0.941,-10.193,0.305,2.258
0.004,-0.017,0.933,-4.761,0.488,3.845
0.010,-0.001,0.933,0.732,-0.122,6.287
0.001,0.021,0.948,5.554,-2.075,7.141

-0.440,-1.565,1.058,-133.545,17.517,-190.186
-0.413,-1.529,0.998,-137.085,25.269,-109.009
-0.329,-1.375,0.952,-107.361,19.836,-50.110
-0.335,-1.202,0.869,-67.322,1.770,-14.282
-0.376,-1.020,0.802,-36.438,-15.991,9.155
-0.349,-0.779,0.801,-16.724,-32.410,35.522
-0.301,-0.608,0.897,-1.404,-50.842,71.655
-0.260,-0.506,0.964,6.775,-68.970,108.276
-0.203,-0.555,0.990,2.747,-79.651,138.367
-0.153,-0.506,0.928,-13.245,-79.895,158.447
-0.173,-0.447,0.922,-25.269,-67.566,164.490
-0.205,-0.382,0.861,-27.283,-50.110,163.025
-0.184,-0.293,0.812,-22.400,-32.410,156.250
-0.128,-0.202,0.818,-17.395,-15.747,146.729
-0.089,-0.147,0.838,-16.052,-6.226,136.536
-0.068,-0.072,0.868,-15.747,-0.793,126.160
-0.126,0.003,0.938,-15.991,3.357,119.385
-0.178,-0.025,1.005,-23.682,3.235,127.380
-0.107,-0.032,1.032,-44.983,3.296,150.879
-0.042,-0.075,1.078,-78.003,7.751,178.772
0.012,-0.091,1.106,-122.314,17.883,202.942
0.084,0.001,1.053,-165.527,36.987,222.290
0.104,0.092,1.005,-183.960,60.730,233.521
0.045,0.112,1.028,-173.950,76.416,236.816
-0.003,0.013,1.090,-151.489,80.750,246.338
-0.027,-0.185,1.144,-133.545,82.642,272.278
-0.116,-0.452,1.207,-136.169,86.853,293.945
-0.130,-0.412,1.075,-161.133,87.524,290.710
0.033,-0.066,0.847,-182.434,80.933,259.033
0.111,0.251,0.706,-163.574,59.082,211.670
0.031,0.431,0.612,-103.210,17.456,161.072
-0.052,0.441,0.582,-26.306,-22.461,119.812
-0.069,0.367,0.678,38.330,-44.983,90.576
-0.056,0.335,0.789,65.491,-51.575,79.956
-0.043,0.299,0.932,49.500,-48.584,90.149
0.053,0.251,1.040,11.841,-39.368,113.892
0.151,0.213,1.095,-29.358,-29.236,134.583
0.166,0.216,1.062,-61.890,-24.719,137.268
0.096,0.229,0.968,-69.336,-24.841,120.667
0.030,0.238,0.881,-51.758,-21.912,93.384
-0.032,0.214,0.849,-24.475,-12.329,68.420
-0.042,0.181,0.840,-2.319,0.671,52.124
-0.003,0.191,0.851,10.925,13.367,39.368
-0.005,0.211,0.879,17.334,16.968,30.334
-0.033,0.207,0.894,16.724,8.057,28.259
-0.028,0.216,0.867,11.780,-6.653,31.372
-0.036,0.197,0.848,6.836,-21.484,38.269
-0.025,0.126,0.867,3.723,-33.325,46.997
0.057,0.121,0.910,3.845,-39.734,51.514
0.103,0.149,0.979,8.789,-40.771,47.424
0.019,0.112,1.019,14.709,-37.659,42.175
0.027,0.090,1.062,19.287,-19.531,36.743
0.074,0.104,1.079,24.780,1.160,29.175
0.022,0.116,1.070,29.297,15.808,22.705
-0.011,0.114,1.015,31.006,23.804,19.592
-0.056,0.146,0.963,30.640,27.222,18.372
-0.076,0.160,0.931,30.579,26.367,17.578
-0.049,0.149,0.889,31.738,19.897,16.785
-0.033,0.155,0.852,31.128,9.277,15.442
-0.025,0.160,0.876,29.968,-0.183,12.573
-0.022,0.131,0.894,27.344,-8.362,12.146
-0.012,0.123,0.920,19.775,-14.038,14.343
0.017,0.135,0.934,13.489,-14.282,15.686
0.039,0.120,0.943,12.024,-10.742,12.817
0.056,0.112,0.951,13.733,-7.202,9.033
0.059,0.115,0.967,18.921,-2.930,4.150
0.056,0.104,1.001,26.550,3.906,-3.113
0.006,0.089,0.980,30.273,10.681,-10.132
-0.035,0.104,0.949,26.672,16.296,-14.160
-0.053,0.127,0.941,23.254,18.250,-18.066
-0.076,0.134,0.935,23.254,15.381,-20.264
-0.054,0.080,0.924,22.156,6.287,-18.677
-0.045,0.063,0.926,14.893,-4.761,-15.442
-0.054,0.058,0.940,5.066,-12.390,-9.399
-0.008,0.055,0.970,-1.404,-14.893,-4.150
0.024,0.063,0.981,-0.916,-15.381,-2.502
0.031,0.064,1.011,4.272,-12.817,-4.333
0.043,0.042,1.031,9.583,-7.690,-6.165
0.045,0.016,1.042,9.888,-2.747,-5.493
0.028,0.007,1.028,5.798,2.136,-3.540
0.005,0.009,1.002,2.319,6.348,-1.770
-0.010,0.016,0.965,2.747,7.935,-1.648
-0.018,0.023,0.937,6.104,7.202,-2.502
-0.018,0.028,0.931,8.911,5.676,-3.601
-0.014,0.029,0.944,8.972,2.502,-4.211
-0.012,0.041,0.945,5.859,-2.686,-3.662
-0.003,0.046,0.947,1.038,-7.996,-2.808
0.011,0.041,0.945,-3.540,-12.085,-2.502
0.019,0.038,0.950,-5.676,-13.306,-2.502
0.026,0.043,0.970,-7.019,-10.010,-2.747
0.031,0.039,0.989,-6.714,-6.409,-2.625
0.037,0.031,0.995,-4.761,-2.930,-2.991
0.027,0.036,0.987,-1.770,1.587,-4.089
0.014,0.025,0.974,2.747,4.700,-6.470
0.001,0.014,0.963,8.118,6.592,-8.789
-0.006,0.007,0.946,12.695,8.057,-9.155
-0.023,0.023,0.935,16.296,7.202,-7.507
-0.019,0.037,0.916,20.020,4.150,-5.310
-0.022,0.053,0.925,22.034,0.000,-4.883
-0.021,0.042,0.923,21.973,-4.883,-5.371
-0.009,0.034,0.936,18.616,-9.705,-6.409
-0.008,0.016,0.944,13.000,-13.367,-6.287
